"TC ID","테스트 항목","대상","수행결과","관련 결함","비고","소요(ms)","파일"
"","SUT 초기화","setup","Pass","","","53","global.setup.ts"
"TC-API-CART-001","정상 담기 시 201과 장바구니 전체를 반환한다","api","Pass","","","47","api/04-cart.spec.ts"
"TC-API-CART-002","[경계값] 수량 0 → 400 (하한 바로 아래)","api","결함확인","BUG-008","BUG-008: 수량 하한(1) 검증 누락으로 0·음수가 그대로 담긴다","32","api/04-cart.spec.ts"
"TC-API-CART-003","[경계값] 수량 1 → 201 (하한 경계)","api","Pass","","","29","api/04-cart.spec.ts"
"TC-API-CART-004","[경계값] 수량 99 → 201 (상한 경계)","api","Pass","","","30","api/04-cart.spec.ts"
"TC-API-CART-005","[경계값] 수량 100 → 400 (상한 바로 위)","api","Pass","","","33","api/04-cart.spec.ts"
"TC-API-CART-006","음수 수량은 총액을 음수로 만들면 안 된다","api","결함확인","BUG-008","BUG-008: 수량 -3이 담겨 총 결제금액이 음수가 된다","38","api/04-cart.spec.ts"
"TC-API-CART-007","품절 상품은 담을 수 없다 (409)","api","결함확인","BUG-009","BUG-009: 담기 시점에 재고를 확인하지 않아 품절 상품도 담긴다","32","api/04-cart.spec.ts"
"TC-API-CART-008","재고보다 많은 수량은 담을 수 없다 (409)","api","결함확인","BUG-009","BUG-009: 재고 2개인 상품에 5개를 담아도 성공한다","41","api/04-cart.spec.ts"
"TC-API-CART-009","존재하지 않는 상품은 404를 반환한다","api","Pass","","","41","api/04-cart.spec.ts"
"TC-API-CART-010","같은 상품을 다시 담으면 수량이 합산된다","api","Pass","","","49","api/04-cart.spec.ts"
"TC-API-CART-011","토큰 없이 담으면 401을 반환한다","api","Pass","","","14","api/04-cart.spec.ts"
"TC-API-CART-012","잘못된 토큰으로 담으면 401을 반환한다","api","Pass","","","12","api/04-cart.spec.ts"
"TC-API-CART-013","빈 장바구니는 빈 목록과 0원을 반환한다","api","Pass","","","29","api/04-cart.spec.ts"
"TC-API-CART-014","여러 상품의 총액은 각 소계의 합이다","api","Pass","","","43","api/04-cart.spec.ts"
"TC-API-CART-015","담긴 항목을 삭제하면 204이고 목록에서 사라진다","api","Pass","","","42","api/04-cart.spec.ts"
"TC-API-CART-016","존재하지 않는 항목을 삭제하면 404를 반환한다","api","결함확인","BUG-010","BUG-010: 없는 itemId를 삭제해도 404가 아니라 204(성공)로 응답한다","27","api/04-cart.spec.ts"
